id,titulo,imagen,imagenes,categoria_id,categoria_nombre,subcategoria_id,subcategoria_nombre,producto_descripcion,precio
K-PIZZA-MESH-14,MESH SCREEN PARA PIZZA DE 14″,https://kossino.com/wp-content/uploads/2023/12/2226574.jpg,https://kossino.com/wp-content/uploads/2023/12/2226574.jpg | https://kossino.com/wp-content/uploads/2023/12/2226352.jpg | https://kossino.com/wp-content/uploads/2023/12/2346517.jpg,UTENSILIOS,UTENSILIOS,PIZZA_Y_PASTA,PIZZA Y PASTA,"MEDIDAS: 14″ / 35.5cm

GROSOR: 3.5mm

MATERIAL: Aluminio",39.5
K-PIZZA-MESH-16,MESH SCREEN PARA PIZZA DE 16″,https://kossino.com/wp-content/uploads/2023/12/2226574.jpg,https://kossino.com/wp-content/uploads/2023/12/2226574.jpg | https://kossino.com/wp-content/uploads/2023/12/2226352.jpg | https://kossino.com/wp-content/uploads/2023/12/2346517.jpg,UTENSILIOS,UTENSILIOS,PIZZA_Y_PASTA,PIZZA Y PASTA,"MEDIDAS: 16″ / 40.6cm

GROSOR: 3.5mm

MATERIAL: Aluminio",44.5
K-UTEN-PALETA-DLX-24,PALETA DE ACERO DE 24″ DE LARGO,https://kossino.com/wp-content/uploads/2024/04/2304359.webp,https://kossino.com/wp-content/uploads/2024/04/2304359.webp | https://kossino.com/wp-content/uploads/2024/04/2304204.jpg,UTENSILIOS,UTENSILIOS,PIZZA_Y_PASTA,PIZZA Y PASTA,"MATERIAL: Acero inoxidable 201

MEDIDAS: 24plg de largo",129
K-UTEN-PALETA-DLX-36,PALETA DE ACERO DE 36″ DE LARGO,https://kossino.com/wp-content/uploads/2024/04/2354201.jpg,https://kossino.com/wp-content/uploads/2024/04/2354201.jpg | https://kossino.com/wp-content/uploads/2024/04/2344781.webp,UTENSILIOS,UTENSILIOS,PIZZA_Y_PASTA,PIZZA Y PASTA,"MATERIAL: Acero inoxidable 201

MEDIDAS: 36plg de largo",149
K-UTEN-PALETA-DLX-48,PALETA DE ACERO DE 48″ DE LARGO,https://kossino.com/wp-content/uploads/2024/04/2354201.jpg,https://kossino.com/wp-content/uploads/2024/04/2354201.jpg | https://kossino.com/wp-content/uploads/2024/04/2344781.webp,UTENSILIOS,UTENSILIOS,PIZZA_Y_PASTA,PIZZA Y PASTA,"MATERIAL: Acero inoxidable 201

MEDIDAS: 48plg de largo",205
K-PIZZA-PALA-71,PALA DE ALUMINIO PARA PIZZAS 71 CM – MANGO DE MADERA,https://kossino.com/wp-content/uploads/2023/12/2447737.jpg,https://kossino.com/wp-content/uploads/2023/12/2447737.jpg | https://kossino.com/wp-content/uploads/2023/12/2445268.jpg,UTENSILIOS,UTENSILIOS,PIZZA_Y_PASTA,PIZZA Y PASTA,"MEDIDAS: 30 X 40 X 71cm

MATERIAL: Aluminio y madera",129
K-PIZZA-PALA-96,PALA DE ALUMINIO PARA PIZZAS 96 CM – MANGO DE MADERA,https://kossino.com/wp-content/uploads/2023/12/2447737.jpg,https://kossino.com/wp-content/uploads/2023/12/2447737.jpg | https://kossino.com/wp-content/uploads/2023/12/2445268.jpg,UTENSILIOS,UTENSILIOS,PIZZA_Y_PASTA,PIZZA Y PASTA,"MEDIDAS: 30 X 40 X 96cm

MATERIAL: Aluminio y madera",159
K-PIZZA-AGUJAS,RODILLO DE AGUJAS PARA MASA,https://kossino.com/wp-content/uploads/2023/12/2004989.jpg,https://kossino.com/wp-content/uploads/2023/12/2004989.jpg | https://kossino.com/wp-content/uploads/2023/12/1987930-removebg-preview.png,UTENSILIOS,UTENSILIOS,PIZZA_Y_PASTA,PIZZA Y PASTA,"MEDIDAS: 12 X 20.5cm

MATERIAL: Plástico",49
K-PIZZA-CORTE-LUNA-53,CORTADOR DE PIZZA DE MEDIA LUNA 55CM – ACERO INOXIDABLE,https://kossino.com/wp-content/uploads/2024/11/images-1.jpeg,https://kossino.com/wp-content/uploads/2024/11/images-1.jpeg | https://kossino.com/wp-content/uploads/2024/11/PKD-550x550w.jpg,UTENSILIOS,UTENSILIOS,PIZZA_Y_PASTA,PIZZA Y PASTA,MEDIDAS: 55cm,199
K-PIZZA-CORTE-4PLG,CORTADOR DE PIZZA DE 4PLG,https://kossino.com/wp-content/uploads/2023/09/2204603.webp,https://kossino.com/wp-content/uploads/2023/09/2204603.webp | ,UTENSILIOS,UTENSILIOS,PIZZA_Y_PASTA,PIZZA Y PASTA,"MEDIDAS: 4.5 pulgadas de diametro

MATERIAL: Mango de plástico negro",34
K-PIZZA-PIEDRA-12X15,Piedra para horneado de pizzas de 12×15″,https://kossino.com/wp-content/uploads/2023/12/2308367.jpg,https://kossino.com/wp-content/uploads/2023/12/2308367.jpg | https://kossino.com/wp-content/uploads/2023/12/2225156.jpg | https://kossino.com/wp-content/uploads/2023/12/2223753.jpg,UTENSILIOS,UTENSILIOS,PIZZA_Y_PASTA,PIZZA Y PASTA,"MEDIDAS: 12 x 15″

MATERIAL: Cordierita",184
K-PIZZA-TRAY-RACK-15,Rack/Organizador de 15 bandejas de pizza,https://kossino.com/wp-content/uploads/2023/12/2460465.jpg,https://kossino.com/wp-content/uploads/2023/12/2460465.jpg | https://kossino.com/wp-content/uploads/2023/12/2448896.jpg,UTENSILIOS,UTENSILIOS,PIZZA_Y_PASTA,PIZZA Y PASTA,"MEDIDAS: 25 X 30 X 71cm

MATERIAL: Acero inoxidable",499
K-CONT-CUBO-2QT,CUBO DE 2QT (1.5 LITROS),https://kossino.com/wp-content/uploads/2023/06/2133932-fotor-bg-remover-20241107155722.png,https://kossino.com/wp-content/uploads/2023/06/2133932-fotor-bg-remover-20241107155722.png | https://kossino.com/wp-content/uploads/2023/06/2QT-1.jpg | https://kossino.com/wp-content/uploads/2023/06/1897145.jpg,CONTENEDORES,CONTENEDORES,CUBOS/TUPERS,CUBOS/TUPERS,"MEDIDAS: 18 X 18 X 10cms

CAPACIDAD: 2 quartos / 1.5 litros

MATERIAL: Policarbonato

TAPA: Tapa verde",60
K-CONT-CUBO-4QT,CUBO DE 4QT (3.5 LITROS),https://kossino.com/wp-content/uploads/2023/06/2133473-fotor-bg-remover-20241107155856.png,https://kossino.com/wp-content/uploads/2023/06/2133473-fotor-bg-remover-20241107155856.png | https://kossino.com/wp-content/uploads/2023/06/4QT-1.jpg | https://kossino.com/wp-content/uploads/2023/06/1897145.jpg | https://kossino.com/wp-content/uploads/2023/06/2QT-4QT-1.jpg,CONTENEDORES,CONTENEDORES,CUBOS/TUPERS,CUBOS/TUPERS,"MEDIDAS: 18.2 X 18.2 X 19 cms

CAPACIDAD: 4 quartos / 3.5 litros

MATERIAL: Policarbonato

TAPA: Tapa verde",80
K-CONT-CUBO-6QT,CUBO DE 6QT  (5.5 LITROS),https://kossino.com/wp-content/uploads/2023/06/2135139-fotor-bg-remover-2024110716034.png,https://kossino.com/wp-content/uploads/2023/06/2135139-fotor-bg-remover-2024110716034.png | https://kossino.com/wp-content/uploads/2023/06/6QT-1.jpg | https://kossino.com/wp-content/uploads/2023/06/1897406.jpg,CONTENEDORES,CONTENEDORES,CUBOS/TUPERS,CUBOS/TUPERS,"MEDIDAS: 22.5 X 22.5 X 19 cms

CAPACIDAD: 6 quartos / 5.5 litros

MATERIAL: Policarbonato

TAPA: Tapa roja",120
K-CONT-CUBO-7.5QT,CUBO DE 7.5QT  (7 LITROS),https://kossino.com/wp-content/uploads/2023/06/2134768-fotor-bg-remover-2024110716235.png,https://kossino.com/wp-content/uploads/2023/06/2134768-fotor-bg-remover-2024110716235.png | https://kossino.com/wp-content/uploads/2023/06/1896905.jpg | https://kossino.com/wp-content/uploads/2023/06/1897406.jpg,CONTENEDORES,CONTENEDORES,CUBOS/TUPERS,CUBOS/TUPERS,"MEDIDAS: 22.5 X 22.5 X 23 cms

CAPACIDAD: 7.5 quartos / 7 litros

MATERIAL: Policarbonato

TAPA: Tapa roja",140
K-CONT-CUBO-12QT,CUBO DE 12QT (10 LITROS),https://kossino.com/wp-content/uploads/2023/06/2134167-fotor-bg-remover-2024110716431.png,https://kossino.com/wp-content/uploads/2023/06/2134167-fotor-bg-remover-2024110716431.png | https://kossino.com/wp-content/uploads/2023/06/12QT-1.jpg | https://kossino.com/wp-content/uploads/2023/06/1897411.jpg,CONTENEDORES,CONTENEDORES,CUBOS/TUPERS,CUBOS/TUPERS,"MEDIDAS: 28.5 X 28.5 X 21 cms

CAPACIDAD: 12 quartos / 10 litros

MATERIAL: Policarbonato

TAPA: Tapa azul",200
